,architecture,model_type,embeddings,hidden,num_layers,dropouts,bidirectional,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
0,0,RNN,Law2Vec,0.3333333333333333,1,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
1,0,RNN,Law2Vec,0.3333333333333333,1,0.5,False,0.01,10,0.576271186440678,0.18518518518518517,0.625,precision
2,0,RNN,Law2Vec,0.3333333333333333,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
3,1,RNN,Law2Vec,0.3333333333333333,1,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
4,1,RNN,Law2Vec,0.3333333333333333,1,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
5,1,RNN,Law2Vec,0.3333333333333333,1,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
6,2,RNN,Law2Vec,0.3333333333333333,1,0.5,True,0.01,10,0.7796610169491526,0.0,0.0,accuracy
7,2,RNN,Law2Vec,0.3333333333333333,1,0.5,True,0.01,10,0.6101694915254238,0.2,0.625,precision
8,2,RNN,Law2Vec,0.3333333333333333,1,0.5,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
9,3,RNN,Law2Vec,0.3333333333333333,1,0.5,True,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,accuracy
10,3,RNN,Law2Vec,0.3333333333333333,1,0.5,True,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,precision
11,3,RNN,Law2Vec,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
12,4,RNN,Law2Vec,0.3333333333333333,1,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
13,4,RNN,Law2Vec,0.3333333333333333,1,0.75,False,0.01,10,0.7796610169491526,0.14285714285714285,0.125,precision
14,4,RNN,Law2Vec,0.3333333333333333,1,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
15,5,RNN,Law2Vec,0.3333333333333333,1,0.75,False,0.0001,10,0.864406779661017,,0.0,accuracy
16,5,RNN,Law2Vec,0.3333333333333333,1,0.75,False,0.0001,10,0.864406779661017,,0.0,precision
17,5,RNN,Law2Vec,0.3333333333333333,1,0.75,False,0.0001,10,0.864406779661017,,0.0,recall
18,6,RNN,Law2Vec,0.3333333333333333,1,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
19,6,RNN,Law2Vec,0.3333333333333333,1,0.75,True,0.01,10,0.3050847457627119,0.14893617021276595,0.875,precision
20,6,RNN,Law2Vec,0.3333333333333333,1,0.75,True,0.01,10,0.2033898305084746,0.14545454545454545,1.0,recall
21,7,RNN,Law2Vec,0.3333333333333333,1,0.75,True,0.0001,10,0.6949152542372882,0.0,0.0,accuracy
22,7,RNN,Law2Vec,0.3333333333333333,1,0.75,True,0.0001,10,0.22033898305084745,0.1346153846153846,0.875,precision
23,7,RNN,Law2Vec,0.3333333333333333,1,0.75,True,0.0001,10,0.22033898305084745,0.1346153846153846,0.875,recall
24,8,RNN,Law2Vec,0.3333333333333333,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
25,8,RNN,Law2Vec,0.3333333333333333,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
26,8,RNN,Law2Vec,0.3333333333333333,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
27,9,RNN,Law2Vec,0.3333333333333333,2,0.5,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,accuracy
28,9,RNN,Law2Vec,0.3333333333333333,2,0.5,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,precision
29,9,RNN,Law2Vec,0.3333333333333333,2,0.5,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,recall
30,10,RNN,Law2Vec,0.3333333333333333,2,0.5,True,0.01,10,0.7796610169491526,0.0,0.0,accuracy
31,10,RNN,Law2Vec,0.3333333333333333,2,0.5,True,0.01,10,0.5084745762711864,0.13793103448275862,0.5,precision
32,10,RNN,Law2Vec,0.3333333333333333,2,0.5,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
33,11,RNN,Law2Vec,0.3333333333333333,2,0.5,True,0.0001,10,0.864406779661017,,0.0,accuracy
34,11,RNN,Law2Vec,0.3333333333333333,2,0.5,True,0.0001,10,0.1694915254237288,0.12727272727272726,0.875,precision
35,11,RNN,Law2Vec,0.3333333333333333,2,0.5,True,0.0001,10,0.1694915254237288,0.12727272727272726,0.875,recall
36,12,RNN,Law2Vec,0.3333333333333333,2,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
37,12,RNN,Law2Vec,0.3333333333333333,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
38,12,RNN,Law2Vec,0.3333333333333333,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
39,13,RNN,Law2Vec,0.3333333333333333,2,0.75,False,0.0001,10,0.2033898305084746,0.1320754716981132,0.875,accuracy
40,13,RNN,Law2Vec,0.3333333333333333,2,0.75,False,0.0001,10,0.2033898305084746,0.1320754716981132,0.875,precision
41,13,RNN,Law2Vec,0.3333333333333333,2,0.75,False,0.0001,10,0.1694915254237288,0.12727272727272726,0.875,recall
42,14,RNN,Law2Vec,0.3333333333333333,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
43,14,RNN,Law2Vec,0.3333333333333333,2,0.75,True,0.01,10,0.847457627118644,0.3333333333333333,0.125,precision
